Feature,Importance
trend_2016_2025,208.06174732343243
percentile_25,198.55143238422875
mean_ratio,140.463289259073
percentile_75,89.10429129180015
rolling_mean_3yr,56.81131381962668
go_encoded,50.34902676816599
min_growth,46.15053725047206
avg_growth_rate,40.95514024051938
iqr_ratio,38.04308549907376
growth_volatility,31.687249964461373
max_growth,30.73301448192937
std_ratio,30.44964431703028
momentum,24.583503741924563
trend_2008_2015,16.032270589624094
ag_encoded,10.526576932773471
sx_encoded,3.1645428179466073
frq_encoded,0.0
unit_encoded,0.0
